Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,562,428,653,858,4233,305,4888,0.0,False
jmeter_view_dashboard,4234,81,79,95,102,129,57,201,0.0,False
jmeter_view_issue,14416,191,185,227,248,321,120,2926,0.0,False
jmeter_view_scrum_board,3391,129,127,171,183,220,72,1809,0.0,False
jmeter_create_issue:open_quick_create,1697,94,92,102,111,158,71,1009,0.0,False
jmeter_search_jql,4668,494,483,548,573,633,396,5504,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,230,241,266,276,312,140,2398,0.0,False
jmeter_view_backlog,2534,326,314,368,386,432,263,5301,0.0,False
jmeter_view_kanban_board,2957,141,130,204,214,244,94,1260,0.0,False
jmeter_browse_projects,3799,46,44,54,57,71,35,221,0.0,False
jmeter_edit_issue:open_editor,2114,90,86,107,118,163,62,1110,0.0,False
jmeter_edit_issue:save_edit,2114,260,252,349,389,548,155,1140,0.0,False
jmeter_view_project_summary,1267,105,101,126,138,176,66,801,0.0,False
jmeter_add_comment:open_comment,841,62,59,74,83,107,44,623,0.0,False
jmeter_add_comment:save_comment,841,250,240,312,331,392,170,1172,0.0,False
jmeter_browse_boards,414,59,58,64,69,85,47,151,0.0,False
selenium_login:open_login_page,252,130,112,117,121,311,105,3694,0.0,False
selenium_login:login_and_view_dashboard,252,477,443,486,499,1090,401,4091,0.0,False
selenium_login,252,608,556,601,617,1209,512,7786,0.0,False
selenium_browse_projects_list,252,241,238,250,257,273,217,758,0.0,False
selenium_browse_boards_list,252,307,233,704,740,791,221,3485,0.0,False
selenium_create_issue:open_quick_create,252,658,650,681,692,782,620,1293,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,252,606,596,601,605,611,588,2641,0.0,False
selenium_create_issue:fill_and_submit_issue_form,252,1079,1067,1107,1113,1136,953,4154,0.0,False
selenium_create_issue,252,1737,1720,1774,1789,1896,1591,5447,0.0,False
selenium_edit_issue:open_edit_issue_form,252,478,451,564,602,660,401,1217,0.0,False
selenium_edit_issue:save_edit_issue_form,252,535,525,609,628,673,440,683,0.0,False
selenium_edit_issue,252,1377,1363,1468,1491,1548,1251,2607,0.0,False
selenium_save_comment:open_comment_form,252,296,298,338,347,379,208,389,0.0,False
selenium_save_comment:submit_form,252,697,673,753,768,1175,551,3547,0.0,False
selenium_save_comment,252,1133,1107,1202,1230,1748,939,3969,0.0,False
selenium_search_jql,252,1080,1066,1106,1118,1243,1027,2939,0.0,False
selenium_view_scrum_board_backlog,252,1006,1140,1193,1200,1243,747,3392,0.0,False
selenium_view_scrum_board,252,773,755,812,827,850,740,2924,0.0,False
selenium_view_kanban_board,252,722,716,981,1085,1276,303,1340,0.0,False
selenium_view_dashboard,252,413,388,590,654,718,179,778,0.0,False
selenium_view_issue,252,539,538,598,619,658,425,1691,0.0,False
selenium_project_summary,252,345,311,425,462,537,270,2034,0.0,False
selenium_log_out,252,319,316,358,378,393,269,429,0.0,False
