Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,639,418,528,598,6987,329,14038,0.0,False
jmeter_view_issue,14415,330,220,513,646,806,146,23885,0.0,False
jmeter_search_jql,4667,657,551,1231,1371,1511,408,2326,0.0,False
jmeter_view_dashboard,4233,108,88,173,248,334,60,1178,0.0,False
jmeter_view_scrum_board,3390,198,162,334,522,646,90,1098,0.0,False
jmeter_view_backlog,2533,471,370,923,1085,1229,282,1971,0.0,False
jmeter_create_issue:open_quick_create,1697,106,85,155,251,329,61,950,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,330,277,575,649,750,222,946,0.0,False
jmeter_view_kanban_board,2956,187,154,302,378,476,109,1343,0.0,False
jmeter_browse_projects,3798,68,53,113,162,224,38,622,0.0,False
jmeter_edit_issue:open_editor,2113,131,102,207,287,374,39,623,0.0,False
jmeter_edit_issue:save_edit,2113,405,295,612,717,933,180,19950,0.0,False
jmeter_view_project_summary,1267,131,102,214,320,420,72,662,0.0,False
jmeter_add_comment:open_comment,841,81,68,118,139,184,54,510,0.0,False
jmeter_add_comment:save_comment,841,424,301,750,822,985,229,24295,0.0,False
jmeter_browse_boards,414,75,64,112,122,157,52,195,0.0,False
selenium_login:open_login_page,240,120,115,129,146,196,105,471,0.0,False
selenium_login:login_and_view_dashboard,240,605,467,1113,1171,1259,413,2432,0.0,False
selenium_login,240,727,588,1231,1302,1393,528,2904,0.0,False
selenium_browse_projects_list,240,246,240,263,289,410,202,543,0.0,False
selenium_browse_boards_list,240,371,240,748,771,846,222,2601,0.0,False
selenium_create_issue:open_quick_create,240,667,656,700,725,853,618,942,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,240,613,597,605,613,1115,585,1156,0.0,False
selenium_create_issue:fill_and_submit_issue_form,240,1095,1072,1120,1138,1646,971,3445,0.0,False
selenium_create_issue,240,1762,1730,1818,1913,2453,1609,4072,0.0,False
selenium_edit_issue:open_edit_issue_form,240,479,458,554,601,656,387,965,0.0,False
selenium_edit_issue:save_edit_issue_form,240,555,546,621,659,738,439,900,0.0,False
selenium_edit_issue,240,1413,1409,1504,1544,1710,1252,2267,0.0,False
selenium_save_comment:open_comment_form,240,301,299,352,372,458,208,499,0.0,False
selenium_save_comment:submit_form,240,830,715,835,887,1114,604,23136,0.0,False
selenium_save_comment,240,1293,1166,1330,1514,1770,1015,23537,0.0,False
selenium_search_jql,240,1237,1197,1299,1374,2116,1073,3202,0.0,False
selenium_view_scrum_board_backlog,240,968,792,1204,1235,1432,751,2813,0.0,False
selenium_view_scrum_board,240,787,762,828,858,902,741,2896,0.0,False
selenium_view_kanban_board,240,699,714,950,1054,1320,294,1421,0.0,False
selenium_view_dashboard,240,423,398,593,616,731,194,761,0.0,False
selenium_view_issue,240,569,561,646,682,878,407,1628,0.0,False
selenium_project_summary,240,351,323,440,475,562,262,2051,0.0,False
selenium_log_out,240,305,294,351,367,426,256,509,0.0,False
