Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,534,490,693,845,1078,374,1582,0.0,False
jmeter_view_dashboard,4233,88,80,120,138,170,57,272,0.0,False
jmeter_search_jql,4666,574,556,699,752,846,423,2111,0.0,False
jmeter_view_issue,14413,226,195,326,360,453,145,2522,0.0,False
jmeter_view_scrum_board,3391,155,157,194,212,256,90,1758,0.0,False
jmeter_view_backlog,2534,361,340,461,502,579,271,2603,0.0,False
jmeter_create_issue:open_quick_create,1697,95,82,139,157,202,62,982,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,297,277,374,397,458,225,2726,0.0,False
jmeter_view_kanban_board,2956,166,139,243,313,377,108,1209,0.0,False
jmeter_browse_projects,3799,58,53,83,94,122,39,164,0.0,False
jmeter_edit_issue:open_editor,2114,118,103,170,190,228,79,351,0.0,False
jmeter_edit_issue:save_edit,2113,308,269,435,489,708,207,1139,0.0,False
jmeter_view_project_summary,1267,123,106,180,199,253,74,585,0.0,False
jmeter_add_comment:open_comment,840,77,69,111,127,156,52,222,0.0,False
jmeter_add_comment:save_comment,840,300,286,369,406,471,226,651,0.0,False
jmeter_browse_boards,414,65,63,72,80,113,54,154,0.0,False
selenium_login:open_login_page,236,122,115,126,142,188,107,1163,0.0,False
selenium_login:login_and_view_dashboard,236,873,1078,1198,1213,1285,422,4916,0.0,False
selenium_login,236,997,1192,1318,1340,1398,533,6080,0.0,False
selenium_browse_projects_list,236,228,226,246,255,270,200,277,0.0,False
selenium_browse_boards_list,236,372,240,745,751,797,223,3552,0.0,False
selenium_create_issue:open_quick_create,236,659,654,687,698,767,612,1123,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,236,601,597,603,608,645,586,1105,0.0,False
selenium_create_issue:fill_and_submit_issue_form,236,1186,1078,1124,1440,3476,978,3494,0.0,False
selenium_create_issue,236,1846,1737,1798,2310,4109,1616,4116,0.0,False
selenium_edit_issue:open_edit_issue_form,236,479,462,544,582,617,385,1451,0.0,False
selenium_edit_issue:save_edit_issue_form,236,567,568,636,677,694,450,708,0.0,False
selenium_edit_issue,236,1430,1422,1518,1542,1626,1262,2856,0.0,False
selenium_save_comment:open_comment_form,236,292,292,344,348,358,199,434,0.0,False
selenium_save_comment:submit_form,236,730,708,802,840,985,608,2468,0.0,False
selenium_save_comment,236,1181,1150,1264,1408,1748,1010,3030,0.0,False
selenium_search_jql,236,1207,1186,1267,1309,1429,1115,3839,0.0,False
selenium_view_scrum_board_backlog,236,999,1153,1208,1229,1267,758,4023,0.0,False
selenium_view_scrum_board,236,787,763,818,831,867,741,3845,0.0,False
selenium_view_kanban_board,236,686,717,864,971,1275,306,1350,0.0,False
selenium_view_dashboard,236,415,402,586,634,694,194,751,0.0,False
selenium_view_issue,236,550,547,604,629,672,437,1961,0.0,False
selenium_project_summary,236,341,318,408,428,462,257,2408,0.0,False
selenium_log_out,236,297,290,332,356,383,254,424,0.0,False
